epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2328.67,0.94229,4.20825,1.42255,0.32873,0.36031,0.28541,0.22171,0.8433,2.41872,1.29817,0.00333301,0.00333301,0.00333301
2,4892.84,0.88915,2.75357,1.35313,0.40636,0.46471,0.40921,0.32608,0.77027,1.88759,1.24083,0.00644635,0.00644635,0.00644635
3,7194.21,0.92048,2.66115,1.36358,0.44587,0.46009,0.42593,0.33917,0.77672,1.8688,1.23594,0.0093397,0.0093397,0.0093397
4,9356.42,0.90345,2.53638,1.34711,0.4739,0.41677,0.40991,0.32145,0.84324,2.06374,1.2778,0.00901,0.00901,0.00901
5,11702.5,0.85383,2.29032,1.31086,0.48275,0.41811,0.41616,0.32601,0.85666,2.06685,1.28426,0.00868,0.00868,0.00868
6,13926.1,0.82269,2.13879,1.29035,0.48724,0.4336,0.43093,0.33952,0.84802,2.00975,1.2752,0.00835,0.00835,0.00835
7,16266,0.8044,2.03764,1.27849,0.49655,0.46079,0.45544,0.36103,0.82638,1.8929,1.25539,0.00802,0.00802,0.00802
8,18585.9,0.7895,1.96613,1.26737,0.50202,0.49381,0.48503,0.38757,0.79814,1.75387,1.23134,0.00769,0.00769,0.00769
9,20892,0.77557,1.90379,1.25718,0.51398,0.51994,0.51461,0.41516,0.76794,1.61928,1.20538,0.00736,0.00736,0.00736
10,23059.6,0.76531,1.84925,1.25101,0.51538,0.54929,0.54017,0.44037,0.73844,1.50995,1.18257,0.00703,0.00703,0.00703
11,25303.8,0.75555,1.80741,1.24401,0.52801,0.57064,0.56277,0.46211,0.71393,1.42715,1.16388,0.0067,0.0067,0.0067
12,27443.3,0.74809,1.7686,1.23993,0.52776,0.59118,0.58098,0.47993,0.69535,1.36448,1.1505,0.00637,0.00637,0.00637
13,29660.2,0.73989,1.72962,1.23332,0.53556,0.60647,0.59638,0.49486,0.68049,1.31521,1.13941,0.00604,0.00604,0.00604
14,31800.3,0.73538,1.6983,1.23057,0.54414,0.61952,0.6087,0.50829,0.66787,1.27523,1.12979,0.00571,0.00571,0.00571
15,34061.3,0.72436,1.65943,1.22382,0.56298,0.62472,0.62016,0.51961,0.65825,1.2416,1.12249,0.00538,0.00538,0.00538
16,36317.1,0.71873,1.62876,1.21942,0.56392,0.63658,0.63054,0.53021,0.64843,1.21268,1.11557,0.00505,0.00505,0.00505
17,38584,0.71109,1.59253,1.21512,0.56936,0.64218,0.64011,0.54017,0.6407,1.18686,1.10955,0.00472,0.00472,0.00472
18,41274,0.70484,1.5616,1.20982,0.58178,0.64451,0.64842,0.54856,0.63398,1.16416,1.10426,0.00439,0.00439,0.00439
19,43768.4,0.69787,1.52969,1.2052,0.58646,0.65089,0.65657,0.55653,0.62866,1.14376,1.09984,0.00406,0.00406,0.00406
20,46084.8,0.6895,1.49561,1.19881,0.5932,0.65626,0.66353,0.5636,0.62368,1.12554,1.09554,0.00373,0.00373,0.00373
21,48347.8,0.60198,1.22104,1.20118,0.59632,0.66446,0.6711,0.57156,0.61681,1.1048,1.08871,0.0034,0.0034,0.0034
22,50486.2,0.58641,1.1658,1.18657,0.60033,0.66991,0.67802,0.57939,0.61073,1.08478,1.08238,0.00307,0.00307,0.00307
23,52679.5,0.57285,1.12251,1.17349,0.60069,0.67773,0.68443,0.58611,0.60516,1.06751,1.07595,0.00274,0.00274,0.00274
24,54929.4,0.5591,1.07307,1.16193,0.60934,0.68093,0.68991,0.59223,0.60063,1.05219,1.07024,0.00241,0.00241,0.00241
25,57426.7,0.54572,1.02319,1.14977,0.62508,0.67966,0.69603,0.59838,0.59626,1.0385,1.06364,0.00208,0.00208,0.00208
26,60062.8,0.53235,0.97482,1.13801,0.6237,0.68857,0.70246,0.60487,0.59342,1.02487,1.05938,0.00175,0.00175,0.00175
27,62419.9,0.51812,0.9205,1.12552,0.63069,0.69459,0.70863,0.61099,0.59202,1.01223,1.05609,0.00142,0.00142,0.00142
28,64597.3,0.50314,0.86934,1.11323,0.63891,0.69572,0.71358,0.61629,0.58968,1.00107,1.05277,0.00109,0.00109,0.00109
29,66899.4,0.48947,0.81435,1.10111,0.64559,0.6982,0.71764,0.62068,0.58726,0.99255,1.0494,0.00076,0.00076,0.00076
30,69062.2,0.47549,0.7667,1.08904,0.64858,0.7003,0.72089,0.6243,0.58487,0.98548,1.04617,0.00043,0.00043,0.00043
